"Model","Threshold","Misclassification","Sensitivity","Specificity","Cost","AUC"
"Logistic (AIC)",0.77,0.315,0.617,0.821,111,0.797
"Logistic (BIC)",0.73,0.315,0.654,0.746,131,0.78
"Logistic (cost-weighted)",0.4,0.3,0.647,0.806,112,0.8
